wavelength(nm), voltage(V)
1234.333, 103.485
2057.725,  86.309
1862.929,  83.576
1233.513, 102.163
1459.429, 104.001
1973.037,  96.554
1251.429, 123.120
1337.165, 162.484
1208.881, 114.451
1319.352, 119.305
2147.672,  98.447
2374.935, 153.673
2086.966, 132.209
1236.734, 113.752
1561.353,  80.209
1457.233, 116.840
1365.942, 115.203
2426.909, 130.148
2374.937, 108.081
2061.640, 113.941
1717.629,  82.430
1285.484, 119.865
1900.070,  62.538
1390.927, 130.064
1273.837,  79.845
1374.902, 103.855
2511.419, 143.398
2287.706,  88.281
1785.501, 138.051
1739.125,  87.029
1578.600,  88.738
1366.260,  85.333
1323.901,  80.835
1927.843, 120.660
1213.905, 168.085
1615.939, 106.102
1994.728, 107.973
1214.817, 122.254
1433.066,  78.836
1996.023, 110.006
2153.596,  79.523
1795.168,  85.010
1972.346,  88.194
1769.421, 127.222
2069.008,  90.387
1867.222, 113.264
1489.673, 122.758
1287.871,  75.563
2180.541,  93.582
2154.888,  81.214
1476.575,  89.568
1578.455, 121.154
2151.325, 110.916
1260.911, 102.689
1298.392, 140.988
1321.962,  61.594
1421.459,  67.812
1276.306,  96.492
1809.445, 117.719
1692.567, 121.848
2184.778, 129.455
1941.098,  84.533
1404.144,  81.279
1771.047,  96.696
2187.747, 122.911
1341.684,  83.075
1589.041,  83.965
2110.893,  85.560
1363.626,  61.470
1310.968,  79.371
1259.895,  58.956
1611.668,  95.323
2188.814,  97.766
1626.866,  82.429
1855.215,  92.306
1253.195, 125.435
1365.732,  77.251
1426.549, 104.514
1994.760,  89.924
1921.276,  97.748
1482.597, 133.911
2030.689, 113.951
1234.133, 118.771
1218.699,  82.855
1938.011,  87.279
2098.132, 106.381
1755.994, 131.393
1723.377, 137.969
1531.296,  85.176
1392.496, 113.143
1875.562,  71.083
1362.593, 108.313
1413.962, 112.735
1549.137,  86.455
1922.124,  86.861
1818.081,  77.672
1427.230, 108.823
1497.306, 140.458
1319.208,  84.101
1265.771,  76.752
1312.341,  83.345
1513.455, 102.223
1463.636,  88.690
1253.183,  87.752
1275.775, 116.996
2160.093, 108.548
1234.540, 132.275
1851.077, 123.989
1696.152, 145.468
1917.966,  81.801
1862.465,  78.282
2156.468,  96.753
2195.863,  80.126
1469.616,  79.710
1868.975, 123.078
2316.034,  62.943
1270.712, 107.152
2009.409, 163.734
2018.522, 124.665
1323.784, 112.161
1314.434, 139.210
1580.407,  84.312
1497.341, 112.260
1459.065, 104.390
1274.933, 119.180
2165.597,  99.797
1516.724,  78.843
1276.218, 104.216
1863.233,  77.870
1794.199, 123.486
1599.718,  87.571
1640.113,  95.517
1374.872, 119.901
1541.746, 106.206
1677.326, 105.078
1202.624, 107.797
1404.593,  86.736
1224.297,  71.350
1626.443, 113.777
2025.647,  84.686
1277.834, 117.877
1713.101, 120.981
1259.182,  98.748
1869.822, 140.150
1531.053, 146.796
1898.008, 125.932
1377.617, 133.973
1275.626,  89.328
2015.794, 119.464
2364.386,  67.869
1361.719, 133.724
1462.974,  94.011
1236.992, 124.747
2067.356,  82.621
1689.016,  99.279
1637.962,  56.671
1682.505, 106.096
1532.941, 120.457
1484.808,  79.462
1455.083,  88.962
1870.138, 145.967
1481.100,  85.394
1615.410,  70.562
2016.516,  92.089
1640.414,  93.869
2607.523,  86.273
1411.195, 119.265
1669.476,  77.271
1635.612, 122.186
2179.350, 109.851
1584.824, 113.313
1548.833, 141.761
1267.614,  86.248
1410.024, 134.223
1204.740,  93.256
1734.376, 113.173
1816.901, 123.365
1993.249,  81.967
1747.952, 121.790
1543.722,  78.250
1976.573, 101.721
2181.373,  93.727
1679.326, 115.652
1851.355, 101.794
1865.639, 113.325
1405.952,  88.018
1839.887,  76.842
1258.644,  74.463
1997.778, 112.654
2013.485, 159.436
2189.411,  78.526
1818.902,  93.168
1829.305,  78.903
1582.116, 123.384
1511.940,  90.089
1570.026, 128.302
1908.147, 102.535
1702.067, 101.326
2247.951,  87.813
2066.848, 156.571
1595.983, 121.058
1278.176, 107.097
1475.625,  86.914
1427.843, 117.703
1605.590,  91.789
1411.860,  84.116
1770.122, 118.689
1450.667, 124.705
2105.990, 125.188
1869.758,  90.201
1213.593, 112.301
1274.554,  73.160
1505.287, 151.301
1308.854, 124.325
1514.512, 128.608
1208.472,  76.638
1277.485, 122.816
1862.950,  77.633
2120.862, 116.000
1278.872, 133.742
1562.030, 128.317
1773.690,  62.810
1642.551,  84.113
1678.831,  62.554
1332.418,  84.018
2116.067, 116.830
2168.370,  91.581
1421.682, 125.970
1264.372,  99.359
2080.528, 117.182
1279.378, 135.427
1446.362, 123.388
1275.014, 127.728
1223.563,  85.382
1260.534,  83.473
1302.493,  76.695
1535.040, 104.511
1533.648,  96.293
1735.704,  76.796
1275.369,  67.673
1882.691, 134.345
2357.069, 102.557
1625.276, 103.503
1384.801,  91.160
2006.447,  88.350
1334.051, 115.355
1533.737,  73.713
1443.512,  87.090
1404.011, 107.759
1277.117, 104.362
1495.691,  80.012
2181.556,  87.065
1399.867,  58.636
1467.068, 104.908
1242.876, 160.528
1726.655,  97.941
1395.506, 148.136
1787.238,  70.269
2146.689,  79.294
1943.742, 138.292
1771.932,  68.640
1536.028,  58.425
1687.532,  98.931
1782.746,  93.601
2171.450,  66.084
1624.694,  92.715
1292.062, 100.391
2385.981, 113.814
1803.432, 115.220
2144.994, 110.895
1269.408, 122.601
1615.725, 100.781
1400.059, 145.742
2175.174,  83.248
1785.140,  94.283
1218.994,  83.623
1291.977,  99.816
1864.687,  97.804
2140.522,  92.141
1202.807,  89.187
1394.827,  90.442
1765.865, 122.048
2134.979,  71.691
1671.570, 129.572
1706.173,  81.692
1487.792, 144.400
1241.503,  79.856
1360.591,  75.080
1712.874, 141.794
1694.239,  70.103
1580.586, 101.355
1858.435, 139.951
1680.227,  72.933
1622.117, 129.106
1542.015,  82.338
1475.545,  80.799
1784.472, 109.804
1325.224,  75.905
1724.626,  87.531
1609.938,  94.464
1357.755,  65.533
1932.603,  80.738
1534.642,  95.258
1732.977, 101.193
1211.295, 114.488
1509.382, 129.827
2199.314,  94.733
1526.540, 139.465
2016.246,  70.110
1201.497,  80.646
1547.016,  72.362
1458.822,  83.414
1750.043, 116.727
1295.325,  85.865
2189.594,  78.814
1772.446, 113.734
1637.174,  88.671
1300.947,  81.917
1967.414, 118.543
1497.096,  94.505
1287.780, 136.535
1786.076,  94.673
1882.998, 121.968
1867.402, 117.104
1274.081,  86.641
1567.616, 148.378
1870.490, 152.314
1416.632, 141.651
2590.475,  74.788
2136.690, 124.217
1242.416, 148.683
1630.544, 115.187
2491.266,  82.047
1932.186,  82.906
1902.541,  88.303
1489.053, 127.039
1206.271, 117.866
1262.497,  85.772
2153.711, 108.158
1230.715,  84.067
1202.089,  78.935
1869.491, 122.889
1893.206,  92.553
1608.725, 120.512
1227.156, 130.300
1695.367,  82.974
1548.699, 157.112
1642.527, 138.001
1234.547, 120.305
1806.429,  97.302
1360.797,  84.429
1767.939, 130.793
1396.699,  79.629
2562.608, 128.089
1791.338, 116.327
1852.074,  87.197
2066.457,  80.077
2124.125,  74.710
1495.014,  93.921
1279.638, 142.047
1502.247,  94.985
1325.423,  77.447
1322.200,  94.612
2089.050,  80.068
1588.927,  82.640
2172.031, 124.365
1792.191,  85.796
1988.176, 102.813
1814.678,  79.963
1236.478,  72.516
1342.549, 100.457
1218.664,  95.894
1793.476, 111.411
1843.281, 110.750
2031.104, 100.584
1769.812, 110.333
1644.562, 117.475
1337.848, 112.158
1368.145, 112.514
1276.517, 107.437
1231.553,  94.435
1489.421,  92.876
1907.498,  73.476
1843.015, 162.544
1309.396, 142.277
1289.209,  75.705
1715.174,  94.291
1270.614,  92.422
1796.884, 149.428
1727.277, 104.784
1657.596,  80.743
1276.413,  97.395
1424.634, 159.664
1331.779,  75.956
1275.687,  96.485
1729.918, 124.828
1730.322,  99.601
1911.106,  89.403
1676.858, 130.977
2316.118, 131.862
1243.930,  96.760
1839.084,  83.687
1581.629,  74.088
2263.279, 113.001
1630.207,  66.918
1540.641, 130.916
1503.709,  94.956
1543.472,  98.175
2123.386,  97.285
1365.185,  98.532
1442.534,  77.477
1852.986, 106.392
1398.618, 108.270
2101.922,  73.072
1774.623, 111.490
1292.473, 131.747
1209.751,  80.560
1275.564,  92.166
2353.288, 123.700
2189.579, 112.063
1271.475, 106.867
1730.445, 126.851
1387.749,  93.814
1617.091, 107.649
1273.996,  84.916
1267.006, 125.255
1507.096,  99.212
1950.118,  89.610
1420.488, 105.237
1912.416, 109.012
1396.775,  78.372
1537.329, 111.918
1721.099,  90.058
1500.679, 115.148
1385.381, 132.861
1363.823, 102.021
1240.913, 162.682
1784.477,  81.855
2156.159, 127.328
1403.292, 106.743
1329.091,  82.727
1830.351,  78.657
2157.717, 131.355
1547.773,  87.213
2132.311,  85.990
1516.808,  76.148
1587.781, 104.680
1250.534,  75.543
1249.167,  88.007
1336.516, 107.577
1422.099,  63.687
2226.894, 106.329
1248.759, 119.204
1613.848, 104.439
1743.689,  75.124
2121.656, 103.866
1467.965, 118.464
1845.507,  86.984
1244.385, 117.098
1216.366,  91.075
1737.987,  53.516
2112.101,  99.718
1645.330, 124.479
1274.532,  79.179
1963.515,  88.437
1894.437, 105.347
1865.400,  90.443
2273.920, 114.073
1360.246,  87.444
1274.575,  92.328
2180.597,  86.545
1567.452,  99.721
2052.565, 140.041
2196.799,  94.115
1661.509, 111.685
1300.788,  88.110
1212.561,  81.504
2224.136, 145.760
1577.683,  77.686
2404.915, 104.472
1246.659, 141.933
2003.992,  84.494
2173.818,  78.618
1799.738, 129.895
2035.668, 124.181
2086.692, 106.143
1572.429,  89.204
1924.055, 106.255
1210.090, 104.486
1952.321, 113.645
1601.435, 101.002
1477.371, 131.766
1472.875,  57.356
1863.385,  86.052
1857.740,  77.481
1397.665,  88.251
1938.403, 154.205
1542.702, 102.231
1723.231,  78.404
1864.223,  86.553
1857.523, 110.295
1673.347, 113.347
1428.287,  90.225
1476.937, 108.254
1406.979,  78.922
1932.304,  73.489
1748.321, 125.693
1546.133, 151.018
1691.898, 129.676
1975.092,  88.602
2195.009, 101.012
1355.753, 142.067
1513.576,  87.419
1298.177,  90.428
1391.128,  81.752
1864.287,  97.467
1343.943, 108.854
1803.829, 116.349
2184.114, 109.781
1292.989, 136.133
1405.821, 100.764
1657.020, 128.430
1549.008, 122.312
1677.544,  82.681
1674.045, 105.438
1862.768,  63.315
1468.855,  94.854
1469.245, 110.426
2050.786,  75.874
1742.514,  97.388
1400.003, 112.348
1714.418, 167.701
1612.091,  84.789
1803.983, 127.863
1525.732, 144.338
1665.046, 100.278
1281.525,  81.480
1506.722,  99.959
1753.212,  82.758
2393.558, 134.153
1822.213,  84.000
1268.986,  85.757
1541.272, 103.928
1410.321,  83.945
1246.695, 119.294
1868.966, 130.637
1577.820,  70.670
1962.147,  96.874
2374.059, 102.652
1827.563,  67.204
1394.933,  85.514
1345.160, 134.674
1627.265,  81.646
1864.649,  77.268
2273.468, 109.564
1714.960, 140.128
2103.217, 111.649
1571.235,  96.618
1240.201,  90.546
1300.849,  79.062
1276.604, 122.717
1852.934, 101.199
1791.692,  82.756
1979.385,  99.386
2286.563,  64.728
1928.126, 125.042
2027.135,  76.600
1361.644,  48.818
1591.326,  83.071
1208.395,  91.966
1254.212, 105.985
1288.857,  82.349
1326.657,  99.138
1270.374,  64.503
1333.700,  88.538
1593.939, 126.548
2096.074, 114.899
1918.325,  88.881
1874.796, 125.886
2037.450, 138.185
2556.424, 149.511
1431.086, 133.067
1388.632, 136.134
1957.019, 100.779
1411.771, 140.537
2091.838,  76.760
1283.515, 116.381
1435.460,  83.083
1377.156,  94.377
3137.149, 122.297
1660.409, 110.039
2318.048, 110.988
1929.648,  83.902
1637.953, 104.242
1555.744, 113.798
1245.191,  91.507
1308.976, 144.516
1479.867, 127.998
1613.893, 114.572
1555.259,  74.016
1778.413, 106.298
1687.234,  93.518
1898.272,  98.191
1639.737, 115.170
1991.366,  84.801
2102.591, 113.561
1474.775,  77.394
1228.916,  80.223
1971.049,  84.050
1717.918, 107.312
1329.662,  93.196
1307.344, 102.780
1342.204, 104.166
1492.400,  91.105
1411.588, 115.850
1268.983,  94.845
1403.062, 104.088
2520.414, 144.730
1432.437, 135.346
2149.676,  99.669
1598.037,  58.281
1797.781,  79.389
1647.347, 133.667
1232.143, 103.810
2057.395,  93.659
1614.884,  62.686
2056.794,  98.698
1675.528, 128.317
1433.028, 109.681
1519.504,  87.385
2153.115,  89.987
1518.964, 113.910
1204.642,  69.240
1369.553, 100.816
1792.338,  94.665
1465.449,  96.329
1778.939, 100.846
1453.852, 176.849
2013.950,  75.506
1256.010,  94.203
1471.884,  90.932
1352.545,  78.528
1274.743,  93.896
1471.163,  74.180
2314.045, 154.997
1275.701, 101.157
1693.063,  84.777
1418.295, 125.407
1887.635, 104.762
1713.633, 120.530
1487.252, 125.599
1871.004, 112.907
1444.718,  87.521
1946.303, 109.013
1299.824,  82.799
1221.420,  94.013
2095.636, 121.553
1318.128, 121.512
1933.975,  77.495
1967.119, 113.468
1443.482,  64.141
1482.577,  76.857
1399.982, 145.531
2352.118,  94.697
1491.468,  96.955
1948.391, 118.022
1861.386,  78.276
1879.424,  86.033
1986.954,  89.114
1323.529, 117.546
1547.924,  95.794
1494.669,  88.367
2017.380, 124.412
1480.639,  89.074
2197.828, 113.066
1546.186,  93.346
1503.237, 121.531
2162.574,  79.628
1401.967,  62.158
2065.053, 104.208
1697.511,  88.624
2127.373, 120.571
1208.119,  92.420
2059.922,  92.011
1353.435,  88.398
1383.398, 120.772
1891.386,  95.712
1395.508,  84.306
1273.771,  78.910
2159.633, 146.840
1400.526, 132.025
1652.407,  90.106
1445.873,  90.103
1842.589,  63.587
1671.610, 115.894
1831.562,  86.393
1632.180, 101.308
1333.910,  91.500
4208.057,  96.868
2742.930,  71.625
1695.872,  96.973
1241.319, 149.836
1262.315, 106.756
1389.374,  79.903
1454.724,  78.982
1546.875,  91.390
1662.499,  95.994
1274.420,  80.498
1394.819,  86.438
1621.320, 102.062
1778.038,  83.376
1431.747, 103.208
1303.650, 141.050
1509.622,  80.339
1718.273, 105.354
1561.402, 107.917
1577.560,  87.118
1795.161, 103.951
1866.431, 111.792
1687.576, 119.891
1403.045, 103.895
1509.036, 108.602
1213.549, 107.343
1858.418, 111.365
1275.815,  91.339
1267.210, 128.217
1424.478,  86.837
2169.984,  96.543
1743.983, 111.975
1915.235,  85.941
1978.650, 117.556
1630.855, 119.062
1507.370, 115.027
1626.632,  87.835
2356.949,  91.380
2052.146, 112.320
1462.418, 135.874
1203.345,  79.109
1228.959,  94.402
1950.554,  98.929
1247.032, 107.387
1480.801, 111.543
1968.845, 105.465
1549.600,  75.967
1885.847, 121.940
1871.946, 111.320
1999.344, 126.063
1385.130, 129.837
1275.635,  91.614
2748.020,  77.908
1823.098,  65.932
1478.261,  95.269
1880.151,  90.006
2200.084, 123.576
1803.636,  89.742
1204.862, 132.234
1406.716,  64.237
1383.208,  96.726
1942.343,  86.260
1208.101,  89.452
1758.216, 108.548
2020.860,  69.580
1756.660, 110.165
1493.362,  89.574
1680.220, 102.823
1526.829,  93.701
1820.565,  88.496
2121.390, 100.404
1865.651, 106.354
1482.407,  88.317
1296.652, 111.879
1239.676,  76.856
1244.079, 148.489
1469.559,  82.800
1493.537, 144.715
1262.659, 139.397
1409.466,  81.794
1230.336,  77.737
1383.115,  79.820
3245.841, 112.382
2095.507,  88.318
1672.627, 102.378
1511.484,  88.216
1766.478,  85.925
2016.483, 107.805
1700.308,  90.402
1464.481, 136.637
2060.743, 103.477
1912.799,  91.371
1355.975, 136.336
1355.891,  82.668
1648.728,  96.432
1699.454, 100.597
1694.094,  79.340
1600.873,  79.658
1783.402, 102.549
1714.853, 147.696
1545.620, 142.027
1470.285, 153.054
1213.861, 134.573
1852.703, 104.057
1354.189, 105.897
2156.913,  92.490
1281.175, 130.751
1647.617,  88.270
1276.482,  99.055
1313.019,  84.894
1282.308, 163.953
1443.925, 115.007
2563.770, 103.310
1862.977,  79.044
1774.588,  79.768
1581.038, 106.044
3146.181, 126.481
1522.622, 118.218
1987.817, 134.535
1301.335, 102.413
1214.396,  70.930
1629.691,  98.832
1997.329, 140.265
1871.362,  98.934
2148.597,  64.379
1459.433, 101.702
1404.166, 131.897
1215.805,  97.631
1367.009, 129.036
1821.180, 103.781
1610.728,  69.814
1917.011,  72.074
1353.086,  89.889
1794.875,  84.588
2092.370, 123.215
1454.294,  99.382
1334.392,  82.235
1490.647, 125.278
1335.407,  74.296
1733.891, 154.459
1709.217, 103.590
1779.739,  69.353
1648.137, 112.974
1382.425,  97.316
1477.074,  84.922
1867.712, 119.652
2098.385,  83.399
2078.043,  97.757
1314.931, 143.059
1540.087,  85.315
1484.379, 109.599
1274.279,  81.303
1547.084,  88.016
1779.821,  83.163
2065.840, 134.629
1487.700,  73.185
1263.652, 117.622
1577.781, 112.637
1221.009, 139.476
1864.719,  86.025
1992.563,  98.880
1234.121,  96.205
1280.189, 141.039
1452.972,  67.491
2139.230,  74.346
1350.376,  89.890
1846.594,  94.268
1807.091,  76.310
1360.441,  89.508
1880.134, 118.684
1431.684,  72.709
1332.428,  90.765
1457.100,  85.361
1439.238, 116.966
1427.112, 130.878
1592.477,  96.354
1282.121, 159.156
1951.204,  87.759
1865.351, 109.266
1651.444, 145.509
1791.915, 112.385
1466.952, 136.237
1972.811,  88.042
1604.932,  87.401
1462.207,  94.483
1790.655, 110.245
1927.714,  95.020
1906.655, 109.863
1360.493, 167.252
1613.253, 134.693
1295.675, 134.206
1412.353,  77.677
1712.394,  85.700
1595.834, 117.068
1529.325, 133.614
1592.927,  96.693
1295.522, 125.298
2109.522, 118.423
1639.939, 110.750
1681.713,  99.614
2058.838, 109.308
1391.708,  81.624
2165.815,  83.884
1867.204, 112.640
1659.519, 101.332
1688.413, 111.079
2193.378, 144.299
1530.130, 123.570
1785.540, 110.603
1639.930, 112.015
1223.107, 144.335
1287.130, 143.048
1387.163,  94.179
1266.153,  99.094
1894.643,  90.801
1210.671,  83.307
1764.007, 130.642
1953.310,  70.878
1879.284, 136.461
1958.871,  96.583
1531.502,  91.526
1285.832,  96.365
2150.865, 111.611
2179.402, 111.269
1213.350, 141.998
1564.780,  99.093
2081.187,  97.210
1262.291, 109.879
1532.172,  98.752
1236.304,  77.063
1637.344,  89.991
1277.321,  71.005
1866.329,  99.861
1667.801,  82.291
1389.822,  86.539
1638.456, 152.767
2013.497,  79.038
1776.460,  83.786
3554.786, 115.608
1236.087, 102.207
1870.151, 137.218
1689.453,  82.389
2061.453,  75.488
1246.027,  69.302
2090.746,  92.935
2072.183,  85.301
1252.093, 103.213
1580.764, 121.621
1443.433,  77.763
1424.272,  82.815
1737.057,  96.376
2164.581, 104.966
1366.651,  85.819
1314.856,  95.157
2399.389, 136.209
2144.926,  89.644
1685.820, 127.227
1866.880, 111.024
1963.608, 112.298
1324.058, 103.946
2135.763,  97.473
1673.560, 123.753
1378.935,  91.923
2150.574, 138.031
2082.630, 111.283
1725.344,  73.246
1681.836,  84.021
1905.883,  89.403
1569.693,  88.718
1235.074,  93.955
1275.685,  95.865
1259.541,  69.136
1436.155,  86.580
1474.644,  82.259
1275.953, 112.238
1837.223, 140.237
3713.979, 112.278
1753.975, 115.301
2008.081,  75.666
1766.539,  61.178
1230.172, 100.303
1561.314, 110.484
1581.289,  96.236
1498.679, 138.119
1694.604,  76.667
1890.219, 114.491
1837.613, 108.366
1736.550, 126.080
1302.020, 126.003
1632.586, 121.494
1761.926, 109.130
2353.406,  81.708
2005.562, 104.049
1419.938,  71.996
1315.728,  61.564
1560.172,  99.739
1500.310, 106.727
1864.519,  88.887
2023.458, 144.213
1609.769,  95.666
2257.348, 135.492
1300.345, 132.403
1610.353, 114.844
2164.994,  85.021
1444.395, 119.640
2187.114, 109.691
1497.083,  89.779
1821.093,  87.838
2043.419, 112.059
1423.289,  86.687
1710.177, 110.732
2093.085,  78.993
1687.434, 126.113
2169.953, 123.342
1279.776, 117.796
1480.354, 145.292
1296.944, 101.464
2104.468, 106.883
1250.079,  87.245
1934.053, 100.147
1865.163,  81.486
1371.412,  79.860
1866.077, 100.151
1466.453,  84.182
1714.326, 125.698
1501.235, 100.220
1669.085, 107.795
1465.318, 107.927
1938.850,  76.549
1432.703, 118.170
1213.590, 105.049
1562.801, 100.106
1928.019,  93.265
2153.032,  86.415
1661.855, 102.066
1731.581, 146.091
2622.184,  76.549
1987.898, 124.510
1989.275, 105.415
2082.612, 109.797
2340.722,  75.203
1379.329, 113.445
1737.112, 100.477
1485.320,  76.600
1503.961,  94.922
1800.662, 104.241
1820.784,  91.164
1712.018,  96.373
2179.659,  69.036
1281.062, 128.657
1692.630, 103.051
1268.326,  88.677
1892.797, 117.157
1385.546,  79.550
1391.042, 109.211
1931.732,  87.584
1231.139, 111.289
1306.033, 133.520
1277.392, 107.143
1280.583,  95.851
1645.480,  87.652
2086.174,  97.509
2100.934, 108.723
1440.513, 100.355
1474.989, 163.369
1265.874, 105.302
1383.263, 129.254
1635.471, 105.751
2108.844, 143.310
1575.011,  80.914
1862.699,  72.489
2013.960,  91.141
1567.000, 133.896
1663.491,  77.484
1547.226, 110.482
1282.091,  66.199
1560.029, 130.162
2109.170,  71.165
1645.904,  85.020
1374.608, 131.599
1512.189,  80.815
2088.593, 104.690
1455.552,  97.356
2122.922, 117.363
1632.868, 104.982
1304.848,  72.494
1759.123,  70.463
1320.347,  97.771
1359.988, 104.301
1428.666, 103.446
1539.893,  92.983
2029.881,  84.024
1255.960, 131.809
1897.111,  62.981
1551.059, 103.632
1220.642, 119.114
1480.209, 155.966
2048.949,  96.789
1337.431,  92.505
1809.958, 115.182
1718.933, 110.913
1473.626,  99.173
2510.439, 157.483
2517.164, 148.261
1778.538, 128.355
1700.023,  92.491
1670.712,  83.478
1273.638, 111.909
1228.125, 108.890
1788.947, 130.993
1572.675,  97.283
1349.705, 106.836
1306.971, 101.319
1542.371,  96.736
3659.363,  85.855
1640.593, 108.345
1538.603,  96.720
1707.163,  93.144
2162.137,  81.363
1539.020,  79.208
1957.472, 102.429
1422.923,  77.112
1295.297,  94.377
1370.588,  92.018
1237.567,  83.393
1877.331,  76.342
1305.410,  63.506
2064.673,  90.091
1593.577,  83.472
2149.351,  81.908
1775.866, 107.773
1582.355, 103.940
1198.818,  78.833
1792.083, 118.194
2118.022,  89.375
1849.427, 130.810
1274.964,  78.645
1949.373, 117.868
1289.763,  99.465
1635.888, 124.674
1956.551,  92.522
1470.763,  91.426
1941.021, 110.037
2234.138,  70.902
1710.525, 108.580
1487.501, 128.366
2287.169,  78.691
1531.601,  80.577
1891.478, 144.951
1856.647, 121.493
1245.962,  63.486
1672.379, 124.157
1341.082,  58.696
1815.066, 116.193
1685.103, 117.555
1262.845,  78.752
2143.731,  93.970
1220.828, 111.732
1251.273, 118.909
1320.347,  81.135
1865.887, 104.866
1625.629, 131.416
1856.304, 104.944
1954.225,  68.745
1256.305, 119.208
2053.236, 102.117
1490.070,  74.744
1495.847,  85.697
2019.159,  76.064
1600.612,  73.419
1239.476,  97.560
1550.170,  83.383
1280.227, 146.257
1439.725, 136.181
1429.695, 108.687
1255.345,  72.587
1633.304, 101.608
1222.510, 106.870
1459.944, 111.171
1365.177, 110.277
1479.288,  81.992
1596.366, 114.032
1224.292, 100.754
1865.383, 100.611
1806.482,  58.443
1360.115,  86.916
2583.397, 107.357
1829.418,  86.161
2168.859, 117.316
2220.514, 114.820
1688.878, 124.253
1869.134, 136.794
1215.783, 122.325
1422.773,  92.700
1809.581,  91.523
1414.755, 109.927
1936.410, 139.169
1940.106, 153.852
1712.006,  83.601
2099.513, 125.383
1928.621, 102.064
1243.225,  88.799
1365.680,  85.185
1360.912, 119.902
1203.171, 108.659
